epoch,algorithm,Delta_env,Delta_d_ideal,Delta_d_learned,Delta_eff,bias,target_bias,target_band_low,target_band_high,tracking_error,T_X,T_Z,lifetime_score,reward,update_type,gate1_pass,gate2_pass,gate3_pass,cost_units,cumulative_cost_units,burn_in_flag,g2_real,g2_imag,eps_real,eps_imag,Delta_d_bound
0,baseline,-0.021295704457578165,0.021295704457578165,0.0,-0.021295704457578165,78.46031513730946,100.0,97.0,103.0,0.24257722868009057,0.2704221469974898,27.107617270085438,1.9920437348761955,0.01861876988250044,BASELINE_UPDATE,0,0,0,2.0,2.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
1,baseline,-0.023608827139710988,0.023608827139710988,0.013755254977266589,-0.0098535721624444,89.53659056147954,100.0,97.0,103.0,0.11052281116760106,0.31329219212254017,31.37368799704662,2.285350577006802,2.343615693019838,BASELINE_UPDATE,0,0,0,2.0,4.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
2,baseline,-0.02570611293717922,0.02570611293717922,0.021925283740438846,-0.0037808291967403734,96.07700804163761,100.0,97.0,103.0,0.04002014898393788,0.3238560489756262,32.236232953319096,2.345634911729552,2.8646990071339475,BASELINE_UPDATE,0,0,0,2.0,6.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
3,baseline,-0.02756646069659394,0.02756646069659394,0.025859438918753638,-0.0017070217778403021,97.73219114240327,100.0,97.0,103.0,0.02293919152233084,0.3244212200213857,32.42268636358523,2.353145828438083,2.91922461853129,BASELINE_UPDATE,0,0,0,2.0,8.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
4,baseline,-0.029171157118314688,0.029171157118314688,0.025805890493183724,-0.003365266625130963,96.32403339402352,100.0,97.0,103.0,0.03745233036635946,0.3249997270345702,32.317776965831634,2.3516865127431386,2.8804000891020127,BASELINE_UPDATE,0,0,0,2.0,10.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
5,baseline,-0.030504069607813607,0.030504069607813607,0.026515646457748798,-0.003988423150064809,95.66449167915579,100.0,97.0,103.0,0.04432299421611474,0.32379006169415264,32.30018454229347,2.347413012656746,2.851387970874587,BASELINE_UPDATE,0,0,0,2.0,12.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
6,baseline,-0.0315518129748399,0.0315518129748399,0.02886057807895705,-0.0026912348958828512,96.73179492491334,100.0,97.0,103.0,0.033228037934437814,0.3245751028346468,32.43906929344666,2.3541252108373456,2.8961509390631113,BASELINE_UPDATE,0,0,0,2.0,14.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
7,baseline,-0.03230388824093528,0.03230388824093528,0.0321746406290077,-0.000129247611927584,100.23033241684756,100.0,97.0,103.0,0.002300675583616349,0.3255630398205905,32.36630975023321,2.3549188939226355,2.9431699144572994,BASELINE_UPDATE,0,0,0,2.0,16.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
8,baseline,-0.03275279209898695,0.03275279209898695,0.030992127408235374,-0.0017606646907515795,97.80879770610184,100.0,97.0,103.0,0.022155656898015706,0.3249081645717063,32.39179740461075,2.3536925170902947,2.9212723145723154,BASELINE_UPDATE,0,0,0,2.0,18.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
9,baseline,-0.03289409586709315,0.03289409586709315,0.0333210030492117,0.0004269071821185466,100.53222819396201,100.0,97.0,103.0,0.005308168651549226,0.32525543783155464,32.559663180951986,2.35992975371488,2.948551126378329,BASELINE_UPDATE,0,0,0,2.0,20.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
10,baseline,-0.03272649309001878,0.03272649309001878,0.03364530540766472,0.0009188123176459423,100.66141142794969,100.0,97.0,103.0,0.006592336997857962,0.3268503632819466,32.610229489427425,2.366373209710539,2.955960116988098,BASELINE_UPDATE,0,0,0,2.0,22.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
11,baseline,-0.03225181526176022,0.03225181526176022,0.034882792879783034,0.002630977618022813,102.75413971984626,100.0,97.0,103.0,0.02716895582090866,0.32250179860261785,32.29440807803137,2.343247525022198,2.892928470641733,BASELINE_UPDATE,0,0,0,2.0,24.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
12,baseline,-0.031475015468941867,0.031475015468941867,0.03258168092713715,0.00110666545819528,101.4499933387877,100.0,97.0,103.0,0.014395814623678012,0.32552776454198845,32.60533301679771,2.362168341626562,2.943836518379546,BASELINE_UPDATE,0,0,0,2.0,26.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
13,baseline,-0.03040412008358605,0.03040412008358605,0.03370562114519771,0.003301501061611662,103.84937846946936,100.0,97.0,103.0,0.03777137942896931,0.323739405409088,32.33694180468966,2.3483938947061223,2.873614145431762,BASELINE_UPDATE,0,0,0,2.0,28.0,1,1.6472,0.5161,3.8076,-0.3302,0.075
14,baseline,-0.029050148961853112,0.029050148961853112,0.03156417845779618,0.002514029495943069,102.51596432798668,100.0,97.0,103.0,0.02484835000400445,0.32449163523140295,32.44960812662627,2.3541928462787967,2.9166491493579176,BASELINE_UPDATE,0,0,0,2.0,30.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
15,baseline,-0.027427004929257412,0.027427004929257412,0.02964233910370684,0.0022153341744494265,102.26639312046863,100.0,97.0,103.0,0.022410920000877792,0.32464346030061764,32.54754340776696,2.3576741503870595,2.9258576289790166,BASELINE_UPDATE,0,0,0,2.0,32.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
