epoch,algorithm,x_value,y_value,bias,target_bias,reward,T_X,T_Z,update_type,gate1_pass,gate2_pass,gate3_pass,cost_units,cumulative_cost_units,trust_region_length
0,BLT physical-coordinate based,0,-35.85944242913813,24.791101559351656,100.0,-35.85944242913813,0.14677299084207768,3.6386641221357383,PHYSICAL_UPDATE,0,0,0,2.0,2.0,0.0
1,BLT physical-coordinate based,1,-35.85944242913813,24.791101559351656,100.0,-35.85944242913813,0.14677299084207768,3.6386641221357383,PHYSICAL_UPDATE,0,0,0,2.0,4.0,0.0
2,BLT physical-coordinate based,2,-35.85944242913813,24.791101559351656,100.0,-35.85944242913813,0.14677299084207768,3.6386641221357383,PHYSICAL_UPDATE,0,0,0,2.0,6.0,0.0
3,BLT physical-coordinate based,3,-35.85944242913813,24.791101559351656,100.0,-35.85944242913813,0.14677299084207768,3.6386641221357383,PHYSICAL_UPDATE,0,0,0,4.0,10.0,0.0
4,BLT physical-coordinate based,4,-10.067222751675075,46.96038774102617,100.0,-10.067222751675075,0.15812549039425278,7.425634340654019,BLT_REWARD_REGION,1,1,0,4.0,14.0,0.0
5,BLT physical-coordinate based,5,-10.067222751675075,46.96038774102617,100.0,-10.067222751675075,0.15812549039425278,7.425634340654019,BLT_REWARD_REGION,1,1,0,4.0,18.0,0.0
6,BLT physical-coordinate based,6,-10.067222751675075,46.96038774102617,100.0,-10.067222751675075,0.15812549039425278,7.425634340654019,BLT_REWARD_REGION,1,1,0,4.0,22.0,0.0
7,BLT physical-coordinate based,7,0.11546430367377158,80.25686162731174,100.0,0.11546430367377158,0.16083649811869513,12.9082325741335,BLT_REWARD_REGION,1,1,0,4.0,26.0,0.0
8,BLT physical-coordinate based,8,0.11546430367377158,80.25686162731174,100.0,0.11546430367377158,0.16083649811869513,12.9082325741335,BLT_REWARD_REGION,1,1,0,4.0,30.0,0.0
9,BLT physical-coordinate based,9,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,34.0,0.0
10,BLT physical-coordinate based,10,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,38.0,0.0
11,BLT physical-coordinate based,11,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,42.0,0.0
12,BLT physical-coordinate based,12,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,46.0,0.0
13,BLT physical-coordinate based,13,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,50.0,0.0
14,BLT physical-coordinate based,14,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,54.0,0.0
15,BLT physical-coordinate based,15,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,58.0,0.0
16,BLT physical-coordinate based,16,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,62.0,0.0
17,BLT physical-coordinate based,17,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,66.0,0.0
18,BLT physical-coordinate based,18,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,70.0,0.0
19,BLT physical-coordinate based,19,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,74.0,0.0
20,BLT physical-coordinate based,20,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,78.0,0.0
21,BLT physical-coordinate based,21,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,82.0,0.0
22,BLT physical-coordinate based,22,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,86.0,0.0
23,BLT physical-coordinate based,23,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,90.0,0.0
24,BLT physical-coordinate based,24,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,94.0,0.0
25,BLT physical-coordinate based,25,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,98.0,0.0
26,BLT physical-coordinate based,26,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,102.0,0.0
27,BLT physical-coordinate based,27,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,106.0,0.0
28,BLT physical-coordinate based,28,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,110.0,0.0
29,BLT physical-coordinate based,29,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,114.0,0.0
30,BLT physical-coordinate based,30,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,118.0,0.0
31,BLT physical-coordinate based,31,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,122.0,0.0
32,BLT physical-coordinate based,32,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,126.0,0.0
33,BLT physical-coordinate based,33,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,130.0,0.0
34,BLT physical-coordinate based,34,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,134.0,0.0
35,BLT physical-coordinate based,35,3.198870254596764,101.48081839167986,100.0,3.198870254596764,0.32506581337340545,32.987944772290255,BLT_JACOBIAN_UPDATE,1,1,1,4.0,138.0,0.0
