epoch,algorithm,reward,update_type,bias,cost_units,cumulative_cost_units,optimizer_type
0,Bayesian optimization (TUrBO-like),-390.61350566999283,BAYESIAN_UPDATE,28.46957613209257,2.0,2.0,trust-region Bayesian / TUrBO-like
1,Bayesian optimization (TUrBO-like),-5.099135449893689,BAYESIAN_UPDATE,83.50305560543069,2.0,4.0,trust-region Bayesian / TUrBO-like
2,Bayesian optimization (TUrBO-like),-5.099135449893689,BAYESIAN_UPDATE,83.50305560543069,2.0,6.0,trust-region Bayesian / TUrBO-like
3,Bayesian optimization (TUrBO-like),-5.099135449893689,BAYESIAN_UPDATE,83.50305560543069,2.0,8.0,trust-region Bayesian / TUrBO-like
4,Bayesian optimization (TUrBO-like),-3.8387826888013192,BAYESIAN_UPDATE,85.04222775005506,2.0,10.0,trust-region Bayesian / TUrBO-like
5,Bayesian optimization (TUrBO-like),-3.8387826888013192,BAYESIAN_UPDATE,85.04222775005506,2.0,12.0,trust-region Bayesian / TUrBO-like
6,Bayesian optimization (TUrBO-like),0.7675159320903813,BAYESIAN_UPDATE,99.81548988908294,2.0,14.0,trust-region Bayesian / TUrBO-like
7,Bayesian optimization (TUrBO-like),0.7675159320903813,BAYESIAN_UPDATE,99.81548988908294,2.0,16.0,trust-region Bayesian / TUrBO-like
8,Bayesian optimization (TUrBO-like),0.7675159320903813,BAYESIAN_UPDATE,99.81548988908294,2.0,18.0,trust-region Bayesian / TUrBO-like
9,Bayesian optimization (TUrBO-like),0.7675159320903813,BAYESIAN_UPDATE,99.81548988908294,2.0,20.0,trust-region Bayesian / TUrBO-like
10,Bayesian optimization (TUrBO-like),0.7675159320903813,BAYESIAN_UPDATE,99.81548988908294,2.0,22.0,trust-region Bayesian / TUrBO-like
11,Bayesian optimization (TUrBO-like),0.7675159320903813,BAYESIAN_UPDATE,99.81548988908294,2.0,24.0,trust-region Bayesian / TUrBO-like
12,Bayesian optimization (TUrBO-like),0.7675159320903813,BAYESIAN_UPDATE,99.81548988908294,2.0,26.0,trust-region Bayesian / TUrBO-like
