epoch,algorithm,drift_signal,ideal_compensation,learned_compensation,residual_drift,bias,target_bias,tracking_error,target_band_low,target_band_high,burn_in,f_drift,f_conv,n_conv,drift_amplitude,seed
0,Bayesian/TUrBO,0.01306718072326648,-0.01306718072326648,0.0,0.01306718072326648,102.92623743503972,100.0,0.028842404282413206,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
1,Bayesian/TUrBO,0.01501492923352099,-0.01501492923352099,-0.004326360642361971,0.01068856859115902,102.21288129027258,100.0,0.021887523861372975,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
2,Bayesian/TUrBO,0.016829404168934272,-0.016829404168934272,-0.0072161837086259315,0.00961322046030834,102.11381237430757,100.0,0.02091781283682288,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
3,Bayesian/TUrBO,0.01849450012152594,-0.01849450012152594,-0.010055389399676084,0.008439110721849856,101.87088819915049,100.0,0.01853602352306621,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
4,Bayesian/TUrBO,0.01999543758174227,-0.01999543758174227,-0.012550550025815697,0.007444887555926573,101.55903050021844,100.0,0.015470024723838748,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
5,Bayesian/TUrBO,0.021318894122429242,-0.021318894122429242,-0.014618289777258799,0.006700604345170443,101.47113277186226,100.0,0.014604165854091572,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
6,Bayesian/TUrBO,0.022453122649639154,-0.022453122649639154,-0.01659795977277474,0.005855162876864415,101.3048078967727,100.0,0.012963686102481173,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
7,Bayesian/TUrBO,0.0233880556706681,-0.0233880556706681,-0.018343364971954757,0.005044690698713342,101.07409287258385,100.0,0.010683654703355389,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
8,Bayesian/TUrBO,0.024115394653833923,-0.024115394653833923,-0.01976913563969696,0.004346259014136964,101.067771241011,100.0,0.01062110821796882,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
9,Bayesian/TUrBO,0.024628683686830924,-0.024628683686830924,-0.021216615671891977,0.0034120680149389467,100.69488068523,100.0,0.006924775157473475,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
10,Bayesian/TUrBO,0.024923366779864526,-0.024923366779864526,-0.02211049865163161,0.002812868128232917,100.61468964232412,100.0,0.006128081319053528,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
11,Bayesian/TUrBO,0.02499682830493921,-0.02499682830493921,-0.022935282097342285,0.0020615462075969267,100.63883659104613,100.0,0.006368046792352975,97.0,103.0,1,0.015,0.16666666666666666,6,0.025,1708
12,Bayesian/TUrBO,0.024848416212357793,-0.024848416212357793,-0.023806924370935397,0.0010414918414223956,100.21750408210517,100.0,0.0021726788440759,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
13,Bayesian/TUrBO,0.024479447818360686,-0.024479447818360686,-0.024045989195832868,0.00043345862252781864,100.21323174384753,100.0,0.0021300472762110275,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
14,Bayesian/TUrBO,0.023893198112533695,-0.023893198112533695,-0.024335868848481667,-0.0004426707359479719,99.8542384376357,100.0,0.0014586789787304087,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
