epoch,algorithm,drift_signal,ideal_compensation,learned_compensation,residual_drift,bias,target_bias,tracking_error,target_band_low,target_band_high,burn_in,f_drift,f_conv,n_conv,drift_amplitude,seed
0,Bayesian/TUrBO,0.01648234897307747,-0.01648234897307747,0.0,0.01648234897307747,103.92641342408204,100.0,0.038512899482296525,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
1,Bayesian/TUrBO,0.014840645470140905,-0.014840645470140905,-0.0057769349223444795,0.009063710547796425,102.14066370555423,100.0,0.021180733208671667,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
2,Bayesian/TUrBO,0.01300474308295339,-0.01300474308295339,-0.00842886900161391,0.004575874081339479,100.99815921494569,100.0,0.009932105092482707,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
3,Bayesian/TUrBO,0.010989221846283153,-0.010989221846283153,-0.009629856585368069,0.0013593652609150842,100.19255822207884,100.0,0.0019237306638463193,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
4,Bayesian/TUrBO,0.008812523142622557,-0.008812523142622557,-0.009782978388229356,-0.0009704552456067991,99.60943887972239,100.0,0.003913258019030916,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
5,Bayesian/TUrBO,0.006496699226923345,-0.006496699226923345,-0.009169756994504091,-0.0026730577675807467,99.22022407182402,100.0,0.007828320784499038,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
6,Bayesian/TUrBO,0.004067081339970237,-0.004067081339970237,-0.00804887148617966,-0.003981790146209423,99.13342958646376,100.0,0.00870346968444663,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
7,Bayesian/TUrBO,0.0015518724248011705,-0.0015518724248011705,-0.00685010086239219,-0.005298228437591019,98.91276899018908,100.0,0.010931845580282963,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
8,Bayesian/TUrBO,-0.0010183278603269792,0.0010183278603269792,-0.005329007702864931,-0.006347335563191911,98.58996798504563,100.0,0.014200674129405559,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
9,Bayesian/TUrBO,-0.003611056616131483,0.003611056616131483,-0.0033479772050034034,-0.0069590338211348865,98.45667700091639,100.0,0.015553561964354656,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
10,Bayesian/TUrBO,-0.006192569114381329,0.006192569114381329,-0.0012085884666602881,-0.007401157581041618,98.25913538023998,100.0,0.017561958591819467,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
11,Bayesian/TUrBO,-0.008728456484931434,0.008728456484931434,0.0012136112953259732,-0.007514845189605461,98.22601370759577,100.0,0.01789910033623836,97.0,103.0,1,,0.16666666666666666,6,0.025,1712
12,Bayesian/TUrBO,-0.011184287145302778,0.011184287145302778,0.003658995092236925,-0.007525292053065853,98.34075658551777,100.0,0.0167316304654801,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
13,Bayesian/TUrBO,-0.013526258834723354,0.013526258834723354,0.00592466102111023,-0.007601597813613124,98.27010072430421,100.0,0.01745036863916963,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
14,Bayesian/TUrBO,-0.01572184778667686,0.01572184778667686,0.008314057719729127,-0.007407790066947733,98.27625622057931,100.0,0.017387732054367958,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
15,Bayesian/TUrBO,-0.017740441531991093,0.017740441531991093,0.010684257955532007,-0.007056183576459086,98.4089201208987,100.0,0.016038734403345398,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
16,Bayesian/TUrBO,-0.019553942070247392,0.019553942070247392,0.012852962678928805,-0.006700979391318588,98.64765353080037,100.0,0.013615739602653982,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
17,Bayesian/TUrBO,-0.021137326676531554,0.021137326676531554,0.014676613604735834,-0.00646071307179572,98.61148046230444,100.0,0.013982496448526196,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
18,Bayesian/TUrBO,-0.02246915441289763,0.02246915441289763,0.016588318895614934,-0.005880835517282697,98.72855525958855,100.0,0.012795967718143196,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
19,Bayesian/TUrBO,-0.023532007473111294,0.023532007473111294,0.018317043647220154,-0.00521496382589114,99.00647591644388,100.0,0.009984924695445057,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
20,Bayesian/TUrBO,-0.02431285778346445,0.02431285778346445,0.019640291882653125,-0.004672565900811325,99.00291073981555,100.0,0.01002093487343618,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
21,Bayesian/TUrBO,-0.024803350784806083,0.024803350784806083,0.02100727404963977,-0.003796076735166312,99.26874566518362,100.0,0.007339411054246567,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
22,Bayesian/TUrBO,-0.025,0.025,0.021971536595866262,-0.003028463404133739,99.5041953086019,100.0,0.0049703788068700796,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
23,Bayesian/TUrBO,-0.024904287811538264,0.024904287811538264,0.022617010538884322,-0.002287277272653942,99.36063494684362,100.0,0.0064141774565574464,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
24,Bayesian/TUrBO,-0.02452266979765514,0.02452266979765514,0.023511359264546988,-0.0010113105331081527,99.74125491184941,100.0,0.002590804118010107,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
25,Bayesian/TUrBO,-0.023866481961376255,0.023866481961376255,0.023812513826022726,-5.396813535352846e-05,99.92738914494565,100.0,0.0007263722950361825,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
26,Bayesian/TUrBO,-0.022951752193472966,0.022951752193472966,0.023886140523214396,0.0009343883297414299,100.21320548961145,100.0,0.0021297852924484413,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
27,Bayesian/TUrBO,-0.02179891929474245,0.02179891929474245,0.023556767652596632,0.0017578483578541831,100.37096791126791,100.0,0.0037028152231008147,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
28,Bayesian/TUrBO,-0.020432464803280585,0.020432464803280585,0.023030387895846726,0.0025979230925661408,100.70137020654255,100.0,0.006989220461554936,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
29,Bayesian/TUrBO,-0.018880464687650568,0.018880464687650568,0.022032497761473948,0.00315203307382338,100.58337211222602,100.0,0.005816770861309269,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
30,Bayesian/TUrBO,-0.017174069638458727,0.017174069638458727,0.021255289684026027,0.0040812200455673,100.83618682218982,100.0,0.008327101477323717,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
31,Bayesian/TUrBO,-0.015346924183233324,0.015346924183233324,0.020085544065081694,0.00473861988184837,101.08208531102186,100.0,0.01076272662204703,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
32,Bayesian/TUrBO,-0.01343453613084859,0.01343453613084859,0.018584686455556314,0.005150150324707725,101.1264115955359,100.0,0.011201148210676356,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
33,Bayesian/TUrBO,-0.01147360889470008,0.01147360889470008,0.017051278677891857,0.005577669783191777,101.09618787924815,100.0,0.01090223289071412,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
34,Bayesian/TUrBO,-0.009501350026129476,0.009501350026129476,0.01556868667443031,0.0060673366483008345,101.40547248736782,100.0,0.013956873016131141,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
35,Bayesian/TUrBO,-0.007554769794464798,0.007554769794464798,0.013623822534156732,0.006069052739691934,101.23732350649261,100.0,0.01229731222451555,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
36,Bayesian/TUrBO,-0.005669983866629948,0.005669983866629948,0.011969546696153908,0.00629956282952396,101.36505418031099,100.0,0.013558212439011052,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
37,Bayesian/TUrBO,-0.0038815340628608943,0.0038815340628608943,0.010103505451545654,0.0062219713886847595,101.20430028004988,100.0,0.011971062848345029,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
38,Bayesian/TUrBO,-0.002221740797154888,0.002221740797154888,0.00849273073937131,0.0062709899422164215,101.54518550244829,100.0,0.015333690795729502,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
39,Bayesian/TUrBO,-0.0007201001593860259,0.0007201001593860259,0.0063559188861256905,0.005635818726739665,101.23619594100177,100.0,0.0122861743187397,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
40,Bayesian/TUrBO,0.0005972623257035881,-0.0005972623257035881,0.004722088521892851,0.00531935084759644,101.30131471654171,100.0,0.012929203627951047,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
