algorithm,normalized_frequency,run_id,actual_f_drift,f_conv,n_conv,rms_tracking_error,p_in_band,mean_rms_tracking_error,std_rms_tracking_error,sem_rms_tracking_error,mean_p_in_band,std_p_in_band,n_runs,drift_amplitude,seed,phase,burn_in_epochs
Bayesian/TUrBO,0.05,0,0.008333333333333333,0.16666666666666666,6,0.006566680465452284,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,221248,3.080297341020095,12
Bayesian/TUrBO,0.05,1,0.008333333333333333,0.16666666666666666,6,0.006585755791404458,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,614340,5.890495648165692,12
Bayesian/TUrBO,0.05,2,0.008333333333333333,0.16666666666666666,6,0.006744878293736646,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,902129,2.2325248766573393,12
Bayesian/TUrBO,0.05,3,0.008333333333333333,0.16666666666666666,6,0.0066600412768474376,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,937885,3.4848389376895357,12
Bayesian/TUrBO,0.05,4,0.008333333333333333,0.16666666666666666,6,0.006824204617958698,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,284559,3.875833808765427,12
Bayesian/TUrBO,0.05,5,0.008333333333333333,0.16666666666666666,6,0.006990225688058148,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,999392,4.680157037252136,12
Bayesian/TUrBO,0.05,6,0.008333333333333333,0.16666666666666666,6,0.0069034628050871774,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,12066,0.9146986494446929,12
Bayesian/TUrBO,0.05,7,0.008333333333333333,0.16666666666666666,6,0.0069749879048065745,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,526806,4.196598270620298,12
Bayesian/TUrBO,0.05,8,0.008333333333333333,0.16666666666666666,6,0.006986209399049909,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,964493,1.7108533996982536,12
Bayesian/TUrBO,0.05,9,0.008333333333333333,0.16666666666666666,6,0.006547757042221631,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,891638,3.031906463269197,12
Bayesian/TUrBO,0.05,10,0.008333333333333333,0.16666666666666666,6,0.007014239795326967,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,366855,4.664660487436819,12
Bayesian/TUrBO,0.05,11,0.008333333333333333,0.16666666666666666,6,0.006980375338062456,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,333164,1.1739038562886197,12
Bayesian/TUrBO,0.05,12,0.008333333333333333,0.16666666666666666,6,0.006939940649279563,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,170996,4.044890282747731,12
Bayesian/TUrBO,0.05,13,0.008333333333333333,0.16666666666666666,6,0.006723796292670604,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,71904,3.64518638703941,12
Bayesian/TUrBO,0.05,14,0.008333333333333333,0.16666666666666666,6,0.00693904757745988,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,325630,1.8428052860824398,12
Bayesian/TUrBO,0.05,15,0.008333333333333333,0.16666666666666666,6,0.006549248356065232,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,28261,6.244888965294601,12
Bayesian/TUrBO,0.05,16,0.008333333333333333,0.16666666666666666,6,0.0069941207473271086,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,445543,4.893053904142243,12
Bayesian/TUrBO,0.05,17,0.008333333333333333,0.16666666666666666,6,0.006613727105209187,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,157639,0.13864502800422007,12
Bayesian/TUrBO,0.05,18,0.008333333333333333,0.16666666666666666,6,0.006731696253718355,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,324640,3.618365382713512,12
Bayesian/TUrBO,0.05,19,0.008333333333333333,0.16666666666666666,6,0.0069368515111410504,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,712635,4.114248131855118,12
Bayesian/TUrBO,0.05,20,0.008333333333333333,0.16666666666666666,6,0.006980250569748108,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,624635,4.262506393736252,12
Bayesian/TUrBO,0.05,21,0.008333333333333333,0.16666666666666666,6,0.0066640775268896535,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,844614,5.64984868632826,12
Bayesian/TUrBO,0.05,22,0.008333333333333333,0.16666666666666666,6,0.006810524274656955,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,892471,2.1491427068235933,12
Bayesian/TUrBO,0.05,23,0.008333333333333333,0.16666666666666666,6,0.00686843022793355,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,388092,0.8499976885768372,12
Bayesian/TUrBO,0.05,24,0.008333333333333333,0.16666666666666666,6,0.006988069964642188,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,808836,4.497403262897937,12
Bayesian/TUrBO,0.05,25,0.008333333333333333,0.16666666666666666,6,0.006597323190569407,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,432017,3.2862434677794408,12
Bayesian/TUrBO,0.05,26,0.008333333333333333,0.16666666666666666,6,0.006727174442088738,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,414007,2.2906333828793195,12
Bayesian/TUrBO,0.05,27,0.008333333333333333,0.16666666666666666,6,0.007006588002387394,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,290078,1.3029777164662517,12
Bayesian/TUrBO,0.05,28,0.008333333333333333,0.16666666666666666,6,0.006768782289421014,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,38388,2.1471590236306297,12
Bayesian/TUrBO,0.05,29,0.008333333333333333,0.16666666666666666,6,0.00701408161946754,1.0,0.006821084967289596,0.00016555333010366828,3.02257644559594e-05,1.0,0.0,30,0.025,862554,4.392752394823452,12
Bayesian/TUrBO,0.1,0,0.016666666666666666,0.16666666666666666,6,0.012911472873491939,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,221248,0.2748534231357145,12
Bayesian/TUrBO,0.1,1,0.016666666666666666,0.16666666666666666,6,0.012671028358244497,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,614340,2.644853188588478,12
